SnmpWalk v1.01 - Copyright (C) 2009 SnmpSoft Company
[ More useful network tools on http://www.snmpsoft.com ]

OID=.1.0.8802.1.1.2.1.2.7.1.2.21, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.22, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.23, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.24, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.25, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.26, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.27, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.28, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.29, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.30, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.31, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.32, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.33, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.34, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.35, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.36, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.37, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.38, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.39, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.40, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.41, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.42, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.43, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.44, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.45, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.46, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.47, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.48, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.49, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.50, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.51, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.2.52, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.1, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.2, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.3, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.4, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.5, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.6, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.7, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.8, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.9, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.10, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.11, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.12, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.13, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.14, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.15, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.16, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.17, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.18, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.19, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.20, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.21, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.22, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.23, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.24, Type=Counter32, Value=0
